Phrase,Frequency
أروني ماذا خلقوا من الأرض أم لهم شرك في,2
الله أروني ماذا خلقوا من الأرض أم لهم شرك,2
ماذا خلقوا من الأرض أم لهم شرك في,2
أروني ماذا خلقوا من الأرض أم لهم شرك,2
الله أروني ماذا خلقوا من الأرض أم لهم,2
خلقوا من الأرض أم لهم شرك في السماوات,2
تدعون من دون الله أروني ماذا خلقوا من الأرض,2
دون الله أروني ماذا خلقوا من الأرض أم لهم,2
من دون الله أروني ماذا خلقوا من الأرض أم,2
أم لهم شرك في السماوات,2
الأرض أم لهم شرك في,2
ماذا خلقوا من,2
أروني ماذا خلقوا,2
الله أروني ماذا,2
خلقوا من الأرض,2
من الأرض أم,2
لهم شرك في,2
أم لهم شرك,2
الأرض أم لهم,2
دون الله أروني,2
شرك في,2
الأرض فمن,2
ذلك هو الفضل الكبير,2
هو الفضل الكبير,2
في الأرض فمن,2
الله أروني,2
لهم شرك,2
ماذا خلقوا,2
أروني ماذا,2
شرك في السماوات,2
من دون الله أروني,2
دون الله أروني ماذا خلقوا,2
من دون الله أروني ماذا,2
تدعون من دون الله أروني,2
الله أروني ماذا خلقوا من,2
أروني ماذا خلقوا من الأرض,2
من الأرض أم لهم شرك,2
خلقوا من الأرض أم لهم,2
ماذا خلقوا من الأرض أم,2
لهم شرك في السماوات,2
أم لهم شرك في,2
أروني ماذا خلقوا من,2
الله أروني ماذا خلقوا,2
دون الله أروني ماذا,2
ماذا خلقوا من الأرض,2
خلقوا من الأرض أم,2
الأرض أم لهم شرك,2
من الأرض أم لهم,2
حسنة لمن,2
عليه من الموت,2
فلما نجاهم إلى,2
الدين فلما نجاهم,2
له الدين فلما,2
نجاهم إلى البر,2
مخلصين له الدين فلما,2
فلما نجاهم إلى البر,2
الدين فلما نجاهم إلى,2
له الدين فلما نجاهم,2
نجاهم إلى,2
فلما نجاهم,2
الله قل الحمد لله بل أكثرهم,2
ليقولن الله قل الحمد لله بل,2
قل الحمد لله بل أكثرهم,2
قل الحمد لله بل أكثرهم لا,2
ليقولن الله قل الحمد لله بل أكثرهم,2
الدين فلما,2
ليقولن الله قل الحمد لله بل أكثرهم لا,2
الله قل الحمد لله بل أكثرهم لا,2
الله مخلصين له الدين فلما,2
مخلصين له الدين فلما نجاهم,2
جاءه أليس,2
دعوا الله مخلصين له الدين فلما نجاهم إلى البر,2
الله مخلصين له الدين فلما نجاهم إلى البر,2
مثوى للكافرين,2
جاءه أليس في,2
في جهنم مثوى للكافرين,2
جاءه أليس في جهنم,2
جهنم مثوى للكافرين,2
دعوا الله مخلصين له الدين فلما نجاهم إلى,2
مخلصين له الدين فلما نجاهم إلى البر,2
دعوا الله مخلصين له الدين فلما,2
الدين فلما نجاهم إلى البر,2
له الدين فلما نجاهم إلى,2
الله مخلصين له الدين فلما نجاهم,2
مخلصين له الدين فلما نجاهم إلى,2
الله مخلصين له الدين فلما نجاهم إلى,2
دعوا الله مخلصين له الدين فلما نجاهم,2
له الدين فلما نجاهم إلى البر,2
الله قل الحمد لله بل,2
ليقولن الله قل الحمد لله,2
والأرض والذين,2
يعلم ما في السماوات والأرض,2
عند الله وإنما أنا نذير مبين,2
السماوات والأرض والذين,2
ذوقوا ما,2
عبادي الذين,2
يا عبادي,2
ذوقوا ما كنتم,2
الله وإنما أنا نذير مبين,2
عند الله وإنما أنا نذير,2
عند الله وإنما,2
وإنما أنا,2
الله وإنما,2
الله وإنما أنا,2
وإنما أنا نذير,2
وإنما أنا نذير مبين,2
الله وإنما أنا نذير,2
عند الله وإنما أنا,2
يا عبادي الذين,2
فأنى يؤفكون,2
نزل من السماء,2
أكثرهم لا يعقلون,2
يبسط الرزق لمن يشاء من عباده ويقدر له,2
نزل من السماء ماء,2
الله قل الحمد,2
قل الحمد لله بل,2
الله قل الحمد لله,2
ليقولن الله قل الحمد,2
الرزق لمن يشاء من عباده ويقدر له,2
لمن يشاء من عباده ويقدر له,2
ليقولن الله فأنى يؤفكون,2
الله فأنى يؤفكون,2
ليقولن الله فأنى,2
ويقدر له,2
عباده ويقدر له,2
يشاء من عباده ويقدر له,2
من عباده ويقدر له,2
جاءه أليس في جهنم مثوى,2
أليس في جهنم مثوى للكافرين,2
سيئة بما,2
إليه ثم إذا,2
منيبين إليه,2
بها وإن تصبهم,2
تصبهم سيئة بما,2
وإن تصبهم سيئة بما,2
بها وإن تصبهم سيئة,2
سيئة بما قدمت,2
فأقم وجهك للدين,2
فأقم وجهك,2
آياته خلق السماوات,2
ومن آياته خلق,2
آياته خلق,2
ومن آياته خلق السماوات,2
آياته خلق السماوات والأرض,2
من ما,2
من في السماوات والأرض كل,2
ومن آياته خلق السماوات والأرض,2
تصبهم سيئة بما قدمت,2
سيئة بما قدمت أيديهم,2
لمن يشاء ويقدر إن,2
أن الله يبسط الرزق,2
ويقدر إن في,2
يشاء ويقدر إن في,2
ويقدر إن في ذلك,2
لمن يشاء ويقدر إن في,2
الرزق لمن يشاء ويقدر إن,2
أن الله يبسط الرزق لمن,2
يشاء ويقدر إن,2
أن الله يبسط,2
تصبهم سيئة بما قدمت أيديهم,2
وإن تصبهم سيئة بما قدمت,2
بها وإن تصبهم سيئة بما,2
بها وإن تصبهم سيئة بما قدمت,2
وإن تصبهم سيئة بما قدمت أيديهم,2
ويقدر إن,2
بها وإن تصبهم سيئة بما قدمت أيديهم,2
وله الحمد في,2
في العذاب محضرون,2
بينهما إلا بالحق وأجل مسمى,2
وما بينهما إلا بالحق وأجل,2
إلا بالحق وأجل مسمى,2
والأرض وما بينهما إلا بالحق وأجل,2
وما بينهما إلا بالحق وأجل مسمى,2
السماوات والأرض وما بينهما إلا بالحق وأجل مسمى,2
والأرض وما بينهما إلا بالحق وأجل مسمى,2
السماوات والأرض وما بينهما إلا بالحق وأجل,2
بينهما إلا بالحق وأجل,2
بالحق وأجل مسمى,2
لا يخلف الله,2
وعد الله لا,2
جاءه أليس في جهنم مثوى للكافرين,2
وعد الله لا يخلف,2
الله لا يخلف الله,2
إلا بالحق وأجل,2
بالحق وأجل,2
وعد الله لا يخلف الله,2
منهم قوة,2
أشد منهم قوة,2
أولم يسيروا في الأرض فينظروا كيف كان عاقبة الذين من قبلهم,2
أولم يسيروا في الأرض فينظروا كيف كان عاقبة الذين من,2
يسيروا في الأرض فينظروا كيف كان عاقبة الذين من قبلهم كانوا,2
الذين أساءوا,2
الساعة يومئذ,2
العذاب محضرون,2
ويوم تقوم الساعة يومئذ,2
تقوم الساعة يومئذ,2
في الأرض فينظروا كيف كان عاقبة الذين من قبلهم كانوا,2
الأرض فينظروا كيف كان عاقبة الذين من قبلهم كانوا,2
الذين من قبلهم كانوا,2
من قبلهم كانوا,2
قبلهم كانوا,2
عاقبة الذين من قبلهم كانوا,2
كان عاقبة الذين من قبلهم كانوا,2
فينظروا كيف كان عاقبة الذين من قبلهم كانوا,2
كيف كان عاقبة الذين من قبلهم كانوا,2
إليك من الكتاب,2
خلق الله السماوات والأرض,2
إلى يوم القيامة من إله,2
سرمدا إلى يوم القيامة من,2
القيامة من إله غير,2
يوم القيامة من إله غير,2
القيامة من إله غير الله,2
يوم القيامة من إله غير الله,2
إلى يوم القيامة من إله غير,2
سرمدا إلى يوم القيامة من إله,2
يوم القيامة من إله,2
سرمدا إلى يوم القيامة,2
لو أنهم,2
العذاب لو,2
الذين حق عليهم القول,2
يكون من,2
لهم الخيرة,2
القيامة من إله,2
سرمدا إلى يوم,2
سرمدا إلى,2
القيامة من إله غير الله يأتيكم,2
سرمدا إلى يوم القيامة من إله غير,2
إنما أوتيته على,2
قال إنما أوتيته,2
أوتيته على,2
أوتيته على علم,2
قال إنما أوتيته على,2
قبله من,2
قال إنما أوتيته على علم,2
إنما أوتيته على علم,2
إنما أوتيته,2
يسأل عن,2
سرمدا إلى يوم القيامة من إله غير الله,2
يوم القيامة من إله غير الله يأتيكم,2
إلى يوم القيامة من إله غير الله,2
إلى يوم القيامة من إله غير الله يأتيكم,2
سرمدا إلى يوم القيامة من إله غير الله يأتيكم,2
ولا يسأل,2
أحسن الله,2
حق عليهم القول,2
الذين حق عليهم,2
أوتيتم من شيء فمتاع,2
فمتاع الحياة الدنيا,2
شيء فمتاع الحياة,2
من شيء فمتاع الحياة,2
شيء فمتاع الحياة الدنيا,2
أوتيتم من شيء فمتاع الحياة الدنيا,2
من شيء فمتاع الحياة الدنيا,2
أوتيتم من شيء فمتاع الحياة,2
من شيء فمتاع,2
أوتيتم من شيء,2
لنا أعمالنا ولكم,2
لنا أعمالنا,2
عنه وقالوا,2
لنا أعمالنا ولكم أعمالكم,2
حرما آمنا,2
فمتاع الحياة,2
شيء فمتاع,2
رسولا يتلو,2
من المحضرين,2
فيقول أين,2
يناديهم فيقول أين شركائي الذين كنتم,2
ويوم يناديهم فيقول أين شركائي الذين,2
أين شركائي الذين كنتم تزعمون,2
فيقول أين شركائي الذين كنتم تزعمون,2
ويوم يناديهم فيقول أين شركائي الذين كنتم,2
الذين حق,2
ويوم يناديهم فيقول أين شركائي الذين كنتم تزعمون,2
يناديهم فيقول أين شركائي الذين كنتم تزعمون,2
فيقول أين شركائي الذين كنتم,2
يناديهم فيقول أين شركائي الذين,2
ويوم يناديهم فيقول أين,2
فيقول أين شركائي,2
يناديهم فيقول أين,2
يناديهم فيقول أين شركائي,2
فيقول أين شركائي الذين,2
ويوم يناديهم فيقول أين شركائي,2
شركائي الذين كنتم تزعمون,2
من قبله من,2
حظ عظيم,2
وما لكم من ناصرين,2
ومأواكم النار وما لكم,2
لكم من ناصرين,2
ومأواكم النار وما لكم من,2
النار وما لكم من ناصرين,2
أهل هذه,2
إنه هو العزيز,2
ومأواكم النار وما لكم من ناصرين,2
ومأواكم النار وما,2
ومأواكم النار,2
دون الله أوثانا,2
الله أوثانا,2
واشكروا له,2
من دون الله أوثانا,2
الآخرة إن,2
بعضكم ببعض,2
والذين كفروا بآيات الله,2
يئسوا من,2
أهل هذه القرية,2
فاستكبروا في,2
نضربها للناس,2
الأمثال نضربها,2
وتلك الأمثال,2
وتلك الأمثال نضربها,2
الأمثال نضربها للناس,2
خلق الله السماوات,2
الله السماوات والأرض بالحق,2
وتلك الأمثال نضربها للناس,2
اتخذوا من دون الله أولياء,2
من دون الله أولياء,2
الذين اتخذوا من,2
من أرسلنا,2
فاستكبروا في الأرض,2
الذين اتخذوا من دون,2
الذين اتخذوا من دون الله,2
دون الله أولياء,2
الله أولياء,2
من دون الله لا يملكون,2
دون الله لا يملكون,2
علم فلا,2
بي ما,2
أجل الله,2
فلا تطعهما,2
بي ما ليس,2
بي ما ليس لك,2
علم فلا تطعهما,2
به علم فلا,2
إن الذي,2
هو في ضلال مبين,2
وقال الذين أوتوا العلم,2
وقال الذين أوتوا,2
يلقاها إلا,2
الأرض فما,2
الله يبسط الرزق لمن يشاء من,2
هو في ضلال,2
الله يبسط الرزق لمن يشاء من عباده ويقدر,2
الله يبسط الرزق لمن يشاء من عباده,2
لك به علم فلا,2
به علم فلا تطعهما,2
وقال الذين كفروا للذين,2
نصر من,2
جاء نصر,2
وقال الذين كفروا للذين آمنوا,2
الله واتقوه,2
الله لا يملكون,2
الله الرزق,2
اعبدوا الله واتقوه,2
بي ما ليس لك به علم فلا تطعهما,2
ما ليس لك به علم فلا تطعهما,2
لك به علم فلا تطعهما,2
ليس لك به علم فلا,2
بي ما ليس لك به,2
بي ما ليس لك به علم,2
ما ليس لك به علم فلا,2
بي ما ليس لك به علم فلا,2
ليس لك به علم فلا تطعهما,2
يشاء ويقدر إن في ذلك,2
ويقدر إن في ذلك لآيات,2
حق فلا تغرنكم الحياة,2
الله حق فلا تغرنكم,2
وعد الله حق فلا,2
فلا تغرنكم الحياة الدنيا,2
تغرنكم الحياة الدنيا ولا,2
ولا يغرنكم بالله الغرور,2
الدنيا ولا يغرنكم بالله,2
الحياة الدنيا ولا يغرنكم,2
يغرنكم بالله الغرور,2
ولا يغرنكم بالله,2
يغرنكم بالله,2
ولا يغرنكم,2
تغرنكم الحياة,2
الله حق فلا,2
حق فلا تغرنكم,2
الدنيا ولا يغرنكم,2
تغرنكم الحياة الدنيا,2
فلا تغرنكم الحياة,2
إن وعد الله حق فلا,2
وعد الله حق فلا تغرنكم,2
تغرنكم الحياة الدنيا ولا يغرنكم بالله,2
فلا تغرنكم الحياة الدنيا ولا يغرنكم,2
حق فلا تغرنكم الحياة الدنيا ولا,2
الحياة الدنيا ولا يغرنكم بالله الغرور,2
إن وعد الله حق فلا تغرنكم الحياة,2
حق فلا تغرنكم الحياة الدنيا ولا يغرنكم,2
الله حق فلا تغرنكم الحياة الدنيا ولا,2
وعد الله حق فلا تغرنكم الحياة الدنيا,2
الله حق فلا تغرنكم الحياة الدنيا,2
وعد الله حق فلا تغرنكم الحياة,2
فلا تغرنكم الحياة الدنيا ولا,2
حق فلا تغرنكم الحياة الدنيا,2
الله حق فلا تغرنكم الحياة,2
تغرنكم الحياة الدنيا ولا يغرنكم,2
الحياة الدنيا ولا يغرنكم بالله,2
إن وعد الله حق فلا تغرنكم,2
الدنيا ولا يغرنكم بالله الغرور,2
فلا تغرنكم,2
حق فلا,2
النهار ويولج النهار في الليل وسخر الشمس,2
في النهار ويولج النهار في الليل وسخر,2
في الليل وسخر الشمس والقمر كل,2
ويولج النهار في الليل وسخر الشمس والقمر,2
النهار في الليل وسخر الشمس والقمر كل,2
في النهار ويولج النهار في الليل وسخر الشمس,2
الليل في النهار ويولج النهار في الليل وسخر,2
في الليل وسخر الشمس والقمر كل يجري,2
النهار في الليل وسخر الشمس والقمر,2
ويولج النهار في الليل وسخر الشمس,2
النهار في الليل وسخر,2
في الليل وسخر,2
ولئن سألتهم من خلق السماوات والأرض ليقولن الله قل,2
في الليل وسخر الشمس,2
ويولج النهار في الليل وسخر,2
النهار ويولج النهار في الليل وسخر,2
في الليل وسخر الشمس والقمر,2
النهار في الليل وسخر الشمس,2
النهار ويولج النهار في الليل وسخر الشمس والقمر,2
ويولج النهار في الليل وسخر الشمس والقمر كل,2
الليل في النهار ويولج النهار في الليل وسخر الشمس والقمر كل,2
يولج الليل في النهار ويولج النهار في الليل وسخر الشمس والقمر,2
النهار ويولج النهار في الليل وسخر الشمس والقمر كل يجري,2
في النهار ويولج النهار في الليل وسخر الشمس والقمر كل يجري,2
يولج الليل في النهار ويولج النهار في الليل وسخر الشمس والقمر كل,2
إلا كل,2
يولج الليل في النهار ويولج النهار في الليل وسخر الشمس والقمر كل يجري,2
الليل في النهار ويولج النهار في الليل وسخر الشمس والقمر كل يجري,2
في النهار ويولج النهار في الليل وسخر الشمس والقمر كل,2
الليل في النهار ويولج النهار في الليل وسخر الشمس والقمر,2
الليل في النهار ويولج النهار في الليل وسخر الشمس,2
يولج الليل في النهار ويولج النهار في الليل وسخر,2
النهار في الليل وسخر الشمس والقمر كل يجري,2
في النهار ويولج النهار في الليل وسخر الشمس والقمر,2
النهار ويولج النهار في الليل وسخر الشمس والقمر كل,2
يولج الليل في النهار ويولج النهار في الليل وسخر الشمس,2
ويولج النهار في الليل وسخر الشمس والقمر كل يجري,2
فلا تغرنكم الحياة الدنيا ولا يغرنكم بالله,2
تغرنكم الحياة الدنيا ولا يغرنكم بالله الغرور,2
مرية من,2
ولنذيقنهم من,2
العذاب الأكبر,2
في مرية من,2
وكانوا بآياتنا,2
ولا تطع الكافرين,2
الكافرين والمنافقين,2
به زرعا,2
ذوقوا عذاب النار,2
الذين آمنوا وعملوا الصالحات فلهم,2
نسيتم لقاء,2
حق القول,2
نعمل صالحا,2
نسيتم لقاء يومكم,2
نسيتم لقاء يومكم هذا,2
آمنوا وعملوا الصالحات فلهم,2
وعملوا الصالحات فلهم,2
الصالحات فلهم,2
تطع الكافرين والمنافقين,2
ولا تطع الكافرين والمنافقين,2
وعدنا الله ورسوله,2
ما وعدنا الله,2
وعدنا الله,2
ما وعدنا الله ورسوله,2
إلا فرارا,2
إن أراد بكم,2
أراد بكم,2
عاهدوا الله,2
فأرسلنا عليهم ريحا,2
وكان الله بما تعملون بصيرا,2
وموسى وعيسى,2
قلوبكم وكان الله,2
قلوبكم وكان,2
تعملون بصيرا,2
بما تعملون بصيرا,2
الله بما تعملون بصيرا,2
وكان الله بما تعملون,2
ثم إلى ربكم ترجعون,2
إلى ربكم ترجعون,2
إن وعد الله حق فلا تغرنكم الحياة الدنيا ولا يغرنكم بالله,2
الله حق فلا تغرنكم الحياة الدنيا ولا يغرنكم بالله الغرور,2
وعد الله حق فلا تغرنكم الحياة الدنيا ولا يغرنكم بالله,2
وعد الله حق فلا تغرنكم الحياة الدنيا ولا يغرنكم بالله الغرور,2
إن وعد الله حق فلا تغرنكم الحياة الدنيا ولا يغرنكم بالله الغرور,2
إن الله عليم خبير,2
الله عليم خبير,2
عليم خبير,2
إن وعد الله حق فلا تغرنكم الحياة الدنيا ولا يغرنكم,2
حق فلا تغرنكم الحياة الدنيا ولا يغرنكم بالله الغرور,2
الله حق فلا تغرنكم الحياة الدنيا ولا يغرنكم,2
وعد الله حق فلا تغرنكم الحياة الدنيا ولا,2
إن وعد الله حق فلا تغرنكم الحياة الدنيا,2
حق فلا تغرنكم الحياة الدنيا ولا يغرنكم بالله,2
فلا تغرنكم الحياة الدنيا ولا يغرنكم بالله الغرور,2
الله حق فلا تغرنكم الحياة الدنيا ولا يغرنكم بالله,2
وعد الله حق فلا تغرنكم الحياة الدنيا ولا يغرنكم,2
إن وعد الله حق فلا تغرنكم الحياة الدنيا ولا,2
إليه في,2
يوم كان,2
من ماء مهين,2
ماء مهين,2
عالم الغيب والشهادة العزيز,2
وجعل لكم السمع والأبصار والأفئدة قليلا,2
وجعل لكم السمع والأبصار والأفئدة قليلا ما,2
ربكم ترجعون,2
الموت الذي,2
وجعل لكم السمع والأبصار والأفئدة قليلا ما تشكرون,2
الغيب والشهادة العزيز,2
والشهادة العزيز,2
في يوم كان,2
إليه في يوم,2
كان مقداره,2
يوم كان مقداره,2
إليه في يوم كان,2
إليه في يوم كان مقداره,2
في يوم كان مقداره,2
سألتهم من خلق السماوات والأرض ليقولن الله قل,2
ولئن سألتهم من خلق السماوات والأرض ليقولن الله,2
يأتي يوم لا مرد له من,2
أن يأتي يوم لا مرد له,2
قبل أن يأتي يوم لا مرد,2
يوم لا مرد له من الله,2
من قبل أن يأتي يوم لا مرد,2
يأتي يوم لا مرد له من الله,2
أن يأتي يوم لا مرد له من,2
قبل أن يأتي يوم لا مرد له,2
لا مرد له من الله,2
يوم لا مرد له من,2
يأتي يوم لا مرد,2
مرد له من,2
لا مرد له,2
يوم لا مرد له,2
لا مرد له من,2
يأتي يوم لا مرد له,2
أن يأتي يوم لا مرد,2
مرد له من الله,2
من قبل أن يأتي يوم لا مرد له,2
قبل أن يأتي يوم لا مرد له من,2
الذين آمنوا وعملوا الصالحات من,2
آمنوا وعملوا الصالحات من,2
وعملوا الصالحات من,2
أن يرسل,2
بأمره ولتبتغوا,2
بأمره ولتبتغوا من فضله ولعلكم,2
بأمره ولتبتغوا من فضله,2
بأمره ولتبتغوا من,2
كفر فعليه كفره,2
فعليه كفره,2
قبل أن يأتي يوم لا مرد له من الله,2
من قبل أن يأتي يوم لا مرد له من,2
أن يأتي يوم لا مرد له من الله,2
من قبل أن يأتي يوم لا مرد له من الله,2
ومن عمل,2
كفر فعليه,2
ومن عمل صالحا,2
يوم لا مرد,2
لا مرد,2
ويقدر إن في ذلك لآيات لقوم يؤمنون,2
يشاء ويقدر إن في ذلك لآيات لقوم,2
لمن يشاء ويقدر إن في ذلك لآيات,2
أن الله يبسط الرزق لمن يشاء ويقدر إن,2
الله يبسط الرزق لمن يشاء ويقدر إن في,2
لمن يشاء ويقدر إن في ذلك لآيات لقوم,2
الرزق لمن يشاء ويقدر إن في ذلك لآيات,2
يبسط الرزق لمن يشاء ويقدر إن في ذلك,2
الرزق لمن يشاء ويقدر إن في ذلك,2
يبسط الرزق لمن يشاء ويقدر إن في,2
الرزق لمن يشاء ويقدر إن في,2
يبسط الرزق لمن يشاء ويقدر إن,2
أن الله يبسط الرزق لمن يشاء,2
لمن يشاء ويقدر إن في ذلك,2
يشاء ويقدر إن في ذلك لآيات,2
الله يبسط الرزق لمن يشاء ويقدر إن,2
أن الله يبسط الرزق لمن يشاء ويقدر,2
ويقدر إن في ذلك لآيات لقوم,2
يشاء ويقدر إن في ذلك لآيات لقوم يؤمنون,2
أن الله يبسط الرزق لمن يشاء ويقدر إن في,2
أن الله يبسط الرزق لمن يشاء ويقدر إن في ذلك لآيات لقوم,2
يبسط الرزق لمن يشاء ويقدر إن في ذلك لآيات لقوم يؤمنون,2
الله يبسط الرزق لمن يشاء ويقدر إن في ذلك لآيات لقوم,2
الله يبسط الرزق لمن يشاء ويقدر إن في ذلك لآيات لقوم يؤمنون,2
أن الله يبسط الرزق لمن يشاء ويقدر إن في ذلك لآيات لقوم يؤمنون,2
الذي عملوا,2
أيدي الناس,2
الله الذي خلقكم,2
أن الله يبسط الرزق لمن يشاء ويقدر إن في ذلك لآيات,2
الرزق لمن يشاء ويقدر إن في ذلك لآيات لقوم يؤمنون,2
الرزق لمن يشاء ويقدر إن في ذلك لآيات لقوم,2
يبسط الرزق لمن يشاء ويقدر إن في ذلك لآيات,2
الله يبسط الرزق لمن يشاء ويقدر إن في ذلك,2
لمن يشاء ويقدر إن في ذلك لآيات لقوم يؤمنون,2
أن الله يبسط الرزق لمن يشاء ويقدر إن في ذلك,2
يبسط الرزق لمن يشاء ويقدر إن في ذلك لآيات لقوم,2
الله يبسط الرزق لمن يشاء ويقدر إن في ذلك لآيات,2
بأمره ولتبتغوا من فضله ولعلكم تشكرون,2
السماء كيف,2
أو في,2
أن اشكر,2
الذين من دونه,2
واصبر على,2
واصبر على ما,2
يحب كل مختال,2
مختال فخور,2
كل مختال,2
فأنبتنا فيها,2
إن الذين آمنوا وعملوا الصالحات لهم جنات,2
كأن لم يسمعها,2
مستكبرا كأن لم,2
لم يسمعها,2
مستكبرا كأن لم يسمعها,2
الصالحات لهم جنات,2
الذين آمنوا وعملوا الصالحات لهم جنات,2
آمنوا وعملوا الصالحات لهم جنات,2
وعملوا الصالحات لهم جنات,2
كل مختال فخور,2
لا يحب كل مختال,2
خلق السماوات والأرض ليقولن الله,2
والأرض ليقولن الله قل,2
السماوات والأرض ليقولن الله,2
السماوات والأرض ليقولن الله قل,2
من خلق السماوات والأرض ليقولن الله,2
من خلق السماوات والأرض ليقولن الله قل,2
سألتهم من خلق السماوات والأرض ليقولن الله,2
خلق السماوات والأرض ليقولن الله قل,2
والأرض ليقولن الله,2
فلا يحزنك,2
ألم تروا,2
لا يحب كل مختال فخور,2
يحب كل مختال فخور,2
لكم ما في السماوات,2
لكم ما في السماوات وما,2
لكم ما في السماوات وما في الأرض,2
لكم ما في السماوات وما في,2
مستكبرا كأن,2
هزوا أولئك لهم عذاب مهين,2
الموتى وهو على كل شيء قدير,2
الموتى وهو على كل شيء,2
الموتى وهو على كل,2
وهو العليم,2
ما لبثوا,2
ولقد ضربنا,2
لا ينفع الذين,2
ينفع الذين,2
الموتى وهو على,2
الموتى وهو,2
الرياح فتثير,2
إذا هم يستبشرون,2
هم يستبشرون,2
فتثير سحابا,2
الرياح فتثير سحابا,2
يحيي الأرض بعد موتها,2
يحيي الأرض بعد,2
يحيي الأرض,2
ضربنا للناس,2
ولقد ضربنا للناس,2
ولقد ضربنا للناس في هذا القرآن من كل مثل,2
ضربنا للناس في هذا القرآن من كل مثل,2
ولقد ضربنا للناس في هذا القرآن من كل,2
قلوب الذين لا,2
هزوا أولئك,2
أولئك لهم عذاب مهين,2
هزوا أولئك لهم عذاب,2
هزوا أولئك لهم,2
ضربنا للناس في هذا القرآن من كل,2
ولقد ضربنا للناس في هذا القرآن من,2
ضربنا للناس في هذا,2
ولقد ضربنا للناس في,2
ضربنا للناس في,2
ولقد ضربنا للناس في هذا,2
ضربنا للناس في هذا القرآن,2
ضربنا للناس في هذا القرآن من,2
ولقد ضربنا للناس في هذا القرآن,2
له عندنا لزلفى,2
عندنا لزلفى وحسن,2
ومن يتول فإن الله هو,2
فإن الله هو الغني,2
يتول فإن الله هو,2
يتول فإن الله هو الغني,2
فإن الله هو الغني الحميد,2
ومن يتول فإن الله هو الغني الحميد,2
يتول فإن الله هو الغني الحميد,2
ومن يتول فإن الله هو الغني,2
ومن يتول فإن الله,2
يتول فإن الله,2
أصاب من,2
ذلك فضل الله يؤتيه من يشاء والله ذو الفضل العظيم,2
فضل الله يؤتيه من يشاء والله ذو الفضل العظيم,2
ما أصاب من,2
أصاب من مصيبة,2
ومن يتول فإن,2
يتول فإن,2
ما أصاب من مصيبة,2
قوي عزيز,2
الله قوي عزيز,2
الذين يحادون الله,2
إن الذين يحادون,2
يحادون الله,2
يحادون الله ورسوله,2
إن الذين يحادون الله,2
والله على كل شيء شهيد,2
إن الذين يحادون الله ورسوله,2
الذين يحادون الله ورسوله,2
الذين يحادون,2
من قبل أن يتماسا,2
شيء من,2
ويجعل لكم,2
إن الله قوي عزيز,2
ثم يعودون,2
يعودون لما,2
قبل أن يتماسا,2
أن يتماسا,2
ثم يعودون لما,2
ذلك فضل الله يؤتيه من يشاء والله ذو الفضل,2
فضل الله يؤتيه من يشاء والله ذو الفضل,2
فيها لغوا ولا,2
لغوا ولا,2
عليهم ولدان مخلدون,2
يسمعون فيها لغوا ولا,2
لا يسمعون فيها لغوا ولا,2
أن نبدل,2
وما نحن بمسبوقين,2
نحن بمسبوقين,2
ولدان مخلدون,2
عليهم ولدان,2
وقعت الواقعة,2
لم يطمثهن إنس قبلهم ولا جان,2
يطمثهن إنس قبلهم ولا جان,2
أصحاب الميمنة,2
أصحاب المشأمة,2
من الآخرين,2
ثلة من الأولين,2
ثلة من,2
على أن نبدل,2
نحن محرومون,2
ما في السماوات والأرض وهو العزيز الحكيم,2
ما في السماوات والأرض وهو العزيز,2
ما في السماوات والأرض وهو,2
وأقرضوا الله,2
وأقرضوا الله قرضا,2
ذلك فضل الله يؤتيه من يشاء والله ذو,2
فضل الله يؤتيه من يشاء والله ذو,2
وأقرضوا الله قرضا حسنا,2
من أصحاب اليمين,2
وأما إن كان من,2
تنزيل من رب,2
لو تعلمون,2
بل نحن محرومون,2
تنزيل من رب العالمين,2
إذا بلغت,2
وأما إن كان,2
وأما إن,2
يوم يبعثهم,2
يوم يبعثهم الله,2
ما في السماوات وما في الأرض وهو العزيز,2
لله ما في السماوات وما في الأرض وهو,2
سبح لله ما في السماوات وما في الأرض,2
في السماوات وما في الأرض وهو العزيز الحكيم,2
سبح لله ما في السماوات وما في الأرض وهو,2
سبح لله ما في السماوات وما في الأرض وهو العزيز,2
ما في السماوات وما في الأرض وهو العزيز الحكيم,2
لله ما في السماوات وما في الأرض وهو العزيز,2
السماوات وما في الأرض وهو العزيز الحكيم,2
في السماوات وما في الأرض وهو العزيز,2
وما في الأرض وهو العزيز,2
الأرض وهو العزيز الحكيم,2
في الأرض وهو العزيز,2
في الأرض وهو العزيز الحكيم,2
سبح لله ما في السماوات وما,2
سبح لله ما في السماوات وما في,2
وما في الأرض وهو العزيز الحكيم,2
السماوات وما في الأرض وهو العزيز,2
لله ما في السماوات وما في الأرض وهو العزيز الحكيم,2
سبح لله ما في السماوات وما في الأرض وهو العزيز الحكيم,2
يوق شح نفسه فأولئك,2
ومن يوق شح نفسه,2
نفسه فأولئك هم,2
شح نفسه فأولئك هم,2
نفسه فأولئك هم المفلحون,2
شح نفسه فأولئك هم المفلحون,2
يوق شح نفسه فأولئك هم,2
ومن يوق شح نفسه فأولئك,2
شح نفسه فأولئك,2
يوق شح نفسه,2
ومن يوق,2
أفاء الله على رسوله,2
أفاء الله على,2
يوق شح,2
شح نفسه,2
ومن يوق شح,2
نفسه فأولئك,2
